,author,count
587,tillich j.-p.,2
588,cavaliere f.,2
589,chanial p.,2
590,chapron c.,2
591,m. stiemer,2
592,d. r. souza,2
593,charlassier r.,2
594,coletti c.,2
595,l. o. fichte,2
596,arruda m.s.,2
597,villas-boas c.j.,2
598,columbro f.,2
599,g. m. torelly,2
600,coppolecchia a.,2
601,mukamel s.,2
602,silva c.,2
603,de gasperis g.,2
604,perlner r.,2
605,de oliveira a.k.d.s.,2
606,galembeck s.e.,2
607,wing-bocanegra a.,2
608,knoll l.t.,1
609,villanueva vergara l.,1
610,theisen m.,1
611,assaf a.,1
612,tsatsos m.c.,1
613,beinke r.,1
614,perdrix s.,1
615,streltsova o.i.,1
616,alon o.e.,1
617,hen i.,1
618,coulamy i.b.,1
619,leitão a.a.,1
620,quirino w.g.,1
621,machado f.c.,1
622,tavares s.r.,1
623,brouzos i.,1
624,marques l.f.,1
625,larotonda m.a.,1
626,calarco t.,1
627,caneva t.,1
628,schmiegelow c.t.,1
629,cederbaum l.s.,1
630,kasevich m.a.,1
631,martins m.j.f.,1
632,wells t.,1
633,tarrataca l.,1
634,klaiman s.,1
635,lode a.u.j.,1
636,montangero s.,1
637,lara p.c.s.,1
638,negretti a.,1
639,demirci h.g.,1
640,said r.s.,1
641,tasson c.,1
642,sakmann k.,1
643,weiner s.e.,1
644,rao g.v.e.,1
645,streltsov a.i.,1
646,endress e.,1
647,alexandrov v.,1
648,carbó-dorca r.,1
649,barragán d.,1
650,silva m.,1
651,koshiyama a.,1
652,cataldo e.,1
653,ávila a.,1
654,pena c.,1
655,gurov t.,1
656,sivalingam k.,1
657,dos santos l.c.,1
658,bilar g.r.,1
659,dacencio pereira f.,1
660,mata-montero e.,1
661,carranza-rojas j.,1
662,reis d.a.,1
663,karaivanova a.,1
664,vicari r.g.,1
665,cupertino l.f.,1
666,mena-contla a.,1
667,gioannini m.,1
668,cappelluti f.,1
669,cappelletti m.,1
670,peltzer y blanca e.,1
671,campos c.a.t.,1
672,marciano a.l.,1
673,raitz c.,1
674,peña-moreno r.,1
675,de oliveira l.m.f.,1
676,morales-lara l.,1
677,serkin v.n.,1
678,belyaeva t.l.,1
679,sardinha l.h.b.,1
680,zabardasti a.,1
681,goudarziafshar h.,1
682,salehnassaj m.,1
683,briët j.,1
684,de oliveira filho f.m.,1
685,vallentin f.,1
686,enevoldsen t.,1
687,boman l.,1
688,christiansen o.,1
689,cimiraglia r.,1
690,coriani s.,1
691,dahle p.,1
692,dalskov e.k.,1
693,ekström u.,1
694,eriksen j.j.,1
695,camargos v.v.,1
696,ettenhuber p.,1
697,fernández b.,1
698,ferrighi l.,1
699,fliegl h.,1
700,frediani l.,1
701,hald k.,1
702,halkier a.,1
703,bast r.,1
704,bakken v.,1
705,bak k.l.,1
706,angeli c.,1
707,rivera a.,1
708,gonzalez-henao j.c.,1
709,subero d.,1
710,luiggi n.,1
711,fassarella l.,1
712,reymer j.m.a.,1
713,valdivia y.j.t.,1
714,echeverría e.,1
715,guaregua j.a.,1
716,scott p.,1
717,selinger p.,1
718,iemini f.,1
719,debarba t.,1
720,vianna r.o.,1
721,aidas k.,1
722,cedola a.,1
723,jara g.e.,1
724,wiesman s.,1
725,da feitosa s.,1
726,possignolo r.t.,1
727,margi c.b.,1
728,parra-murillo c.a.,1
729,madroñero j.,1
730,wimberger s.,1
731,chire saire j.e.,1
732,túpac v.y.j.,1
733,lopes j.f.,1
734,martins h.o.,1
735,"nascimento c.s., jr.",1
736,santos h.f.d.,1
737,almeida w.b.d.,1
738,santos r.a.m.,1
739,fazzion e.,1
740,fonseca o.l.h.m.,1
741,fernandes a.o.,1
742,nascimento a.c.a.,1
743,ramírez-velasquez j.m.,1
744,ramírez c.l.,1
745,roa l.,1
746,muñoz e.,1
747,peña f.j.,1
748,francis j.,1
749,mclaren m.,1
750,goyal s.k.,1
751,maldonado-trapp a.,1
752,hu a.,1
753,monteiro f.s.,1
754,mendoza s. f.,1
755,goya d.h.,1
756,conceição c.,1
757,cavalcanti pacheco m.a.,1
758,flores-moreno j.m.,1
759,de la torre i. m.h.,1
760,hernández-montes m.s.,1
761,pérez-lópez c.,1
762,morales j.d.h.,1
763,guerrero j.,1
764,lópez-aguayo s.,1
765,rogers r.,1
766,white j.,1
767,rippa m.,1
768,labrie k.,1
769,turner j.,1
770,hanna k.,1
771,lazo m.,1
772,pérez g.,1
773,rojas r.,1
774,barufaldi b.,1
775,placco v.,1
776,murowinski r.,1
777,marranghello f.s.,1
778,pius e.,1
779,kashefi e.,1
780,da silva r.d.,1
781,ambainis a.,1
782,boucher l.,1
783,hibon p.,1
784,chiboucas k.,1
785,roth k.,1
786,gabarda s.,1
787,pokrajac d.d.,1
788,do rosário p.v.f.,1
789,salles l.p.,1
790,de mello a.s.b.,1
791,de lima monteiro d.w.,1
792,spiegel j.d.,1
793,kleinschmidt m.,1
794,larbig a.,1
795,tatchen j.,1
796,marian c.m.,1
797,gonçalves d.s.,1
798,gomes-ruggiero m.a.,1
799,childs a.m.,1
800,gimeno g.,1
801,nahimov n.,1
802,cortopassi w.a.,1
803,venegas-andraca s.,1
804,güneysu t.,1
805,aguiar campos s.v.,1
806,tenório w.,1
807,torres f.,1
808,ayala c.,1
809,cvetič g.,1
810,feitosa s.s.,1
811,sánchez-gonzález á.,1
812,martín-martínez f.j.,1
813,dobado j.a.,1
814,gueron s.,1
815,persichetti e.,1
816,borges sardinha l.h.,1
817,sendrier n.,1
818,de castro a.,1
819,sanchez j.,1
820,buenaño h.,1
821,arias s.,1
822,gomez h.,1
823,hernández a.b.,1
824,morales a.e.,1
825,castro m.,1
826,misini ignjatović m.,1
827,orlandi v.b.,1
828,moncada f.,1
829,dong g.,1
830,saenz-mendez p.,1
831,romero j.o.,1
832,fernández-fueyo e.,1
833,avila-salas f.,1
834,recabarren r.,1
835,alzate-morales j.,1
836,martínez a.t.,1
837,cuadra j.,1
838,ponce h.,1
839,rudamas c.,1
840,hörberg j.,1
841,walter m.w.,1
